Name,Description,Source,Real Name,Parent,Sustainability Value,Ethical Value
Fair Trade Certified,"""When you see a product with the Fair Trade Certified seal, you can be sure it was made according to rigorous social, environmental, and economic standards. We work closely on the ground with producers and certify transactions between companies and their suppliers to ensure that the people making Fair Trade Certified goods work in safe conditions, protect the environment, build sustainable livelihoods, and earn additional money to empower and uplift their communities.""",https://www.fairtradecertified.org/why-fair-trade,,,6,8
Organic Cotton Certified,"""Organic cotton certification tracks and identifies the use of organic cotton through a series of certificates. A farm certificate ensures that the cotton produced meets organic farming standards. A scope certificate ensures that the company is qualified to produce organic cotton. And a transaction certificate tracks the organic cotton passed from one hand to another.""",http://aboutorganiccotton.org/wp-content/uploads/2016/04/AOC-OC_Certification_Process_EN.png?x52442,,,4,4
Philanthropic Initiative,"This organization partners with companies that seek to participate in various philanthropic activities including racial equality efforts, education, and community support.",https://www.tpi.org/about,Philanthropic Initiative Partner,,0,2
Fair Labor Association,"A company accredited by the Fair Labor association has committed ""to promoting and complying with international labor standards throughout their supply chains."" This means ""adopting and communicating workplace standards; training staff to assess and remediate noncompliance issues; conducting internal assessments of facilities; and providing workers with confidential reporting channels.""",https://www.fairlabor.org/accreditation,Fair Labor Accredited,,0,8
Bluesign Certified,"A bluesign APPROVED company minimizes harmful chemicals and dyes during their textile production process, as well as meets criteria for optimizing their sustainability when constructing their products","https://www.bluesign.com/en#:~:text=The%20blue%20way,-THE%20BLUE%20WAY&text=BLUESIGN%20is%20a%20system%20that,factory%20floor%20to%20finished%20product.",bluesign APPROVED,,6,0
Green Certified,"""Green America certifies businesses that are:

Actively using their business as a tool for positive social change;
Operating a ""values-driven"" enterprise according to principles of social justice AND environmental sustainability;
Environmentally responsible in the way they source, manufacture, and market their products and run their operations and facilities;
Socially equitable and committed to extraordinary practices that benefit workers, customers, communities, and the environment; and accountable for their work by continually improving and tracking their progress, and operating with transparency in every facet of their business.""",greenamerica.org/green-america-green-business-certification,Green America Certified Business,,8,8
Fair Trade Federation Member,"Fair Trade federation members are committed to the following goals when interacting with producers: developing transparent and accountable relationships, building capacity, promoting fair trade, paying promptly and fairly, supporting safe and empowering work conditions, ensuring the rights of children, cultivate environmental stewardship, respecting cultural identity, and following a specific code of practice as outlined by the Federation.",https://www.fairtradefederation.org/fair-trade-federation-principles/#1548272564768-3386d931-fd6f,,,4,8
Oeko Tex Certification,"""If a textile article carries the STANDARD 100 label, you can be certain that every component of this article, i.e. every thread, button and other accessories, has been tested for harmful substances and that the article therefore is harmless for human health.'",https://www.oeko-tex.com/en/our-standards/standard-100-by-oeko-tex,Oeko-Text STANDARD 100 label,,6,4
GOTS Certified organic cotton,"The Global Organic Textile Standard (GOTS) requires organic fibres grown without insecticides, herbicides, or GMOs.  The standard also requires ethical treatment of workers and safe chemical inputs during the production process, as well as organic fibers being used in the packaging, labeling, trading, and distribution process of textiles. ",https://www.global-standard.org/the-standard/gots-key-features,GOTS Certified,,4,4
1% for the Planet Member,"""Businesses that join 1% for the Planet commit to giving 1% of gross sales each year to our approved nonprofit partners.""",https://www.onepercentfortheplanet.org/,,,2,2
Climate Neutral Certification,"""When you see the label, you know that a brand has achieved zero net carbon emissions by cleaning up its historical emissions, and is on a journey to limit carbon emissions from its operations.""",https://www.climateneutral.org/faq,Climate Neutral Certified,,8,0
Green America Certified Business,"""Green America certifies businesses that are:

Actively using their business as a tool for positive social change;
Operating a ""values-driven"" enterprise according to principles of social justice AND environmental sustainability;
Environmentally responsible in the way they source, manufacture, and market their products and run their operations and facilities;
Socially equitable and committed to extraordinary practices that benefit workers, customers, communities, and the environment; and accountable for their work by continually improving and tracking their progress, and operating with transparency in every facet of their business.""",greenamerica.org/green-america-green-business-certification,Green America Certified Business,,8,8
Energy Star Certification,This brand uses buildings that are Energy Star Certified to produce its textiles. Energy Star certification means that the building meets EPA standards for energy efficiency. ,https://www.energystar.gov/,Energy Star Certified,,4,0
WaterSense Certification,"WaterSense, a voluntary partnership program sponsored by the U.S. Environmental Protection Agency (EPA), is both a label for water-efficient products and a resource for helping you save water.",https://www.epa.gov/watersense/about-watersense,WaterSense Certified,,4,0
Cradle to Cradle Institute Member,"""Cradle to Cradle Certified™ is a globally recognized measure of safer, more sustainable products made for the circular economy...To receive certification, products are assessed for environmental and social performance across five critical sustainability categories: material health, material reuse, renewable energy and carbon management, water stewardship, and social fairness.""",https://www.c2ccertified.org/get-certified/product-certification,Cradle to Cradle Certified,,8,4
FSC-Certified,"""FSC certification ensures that products come from responsibly managed forests that provide environmental, social and economic benefits.""",https://us.fsc.org/en-us/certification,FSC Certified,,4,4
SFI Chain-of-Custody Certification,"Sustainable Forest Initiative's ""forest certification standard is based on principles that promote sustainable forest management, including measures to protect water quality, biodiversity, wildlife habitat, species at risk and Forests with Exceptional Conservation Value.""",https://sfimi.org/about,,,4,0
