Name,Website,Verified Certifications,Self-Generated Tags,Red Flags,Price,Owned By/Associated With,Category,Key Products
& other stories,,Above 70% in Fashion Transparency Index,"Organic Cotton,Policy to Prevent Deforestation of Ancient and Endangered Forests in its Supply Chain,Plan to Reduce Greenhouse Gas Emissions,Eco-friendly practices",Exotic Animal Skin/Fur,$$,,Women,"Casual Wear,Shoes,Bags,Jewelry,Accessories,Swimwear,Bras,Underwear,Activewear,Outerwear,Loungewear,Business Wear"
A-dam,https://a-dam.com/,GOTS Certified organic cotton,"High Proportion of Eco-Friendly Materials,Water Reduction Initiatives,vegan - no animal at all",,,,"Men,Women,Kids","Underwear,Bras,Loungewear,Sleepwear"
A.P.C.,https://www.apc-us.com/,,"Supports Accessibility,Recycles",,$$,,"Women,Men,Home,Books","Denim,Casual Wear,Bags,Accessories,Outerwear,Shoes"
A|X Armani Exchange,https://www.armaniexchange.com/us,,"Recycled Packaging,Does Not Use Fur/Exotic Animal Skins,Organic Cotton",Lack of Info,$$,Armani,"Men,Women","Casual Wear,Accessories,Bags,Jewelry,Swimwear,Sunglasses,Hats,Underwear"
Abercromie & Fitch ,https://www.abercrombie.com/shop/us,,"Recycles,Plan to Reduce Greenhouse Gas Emissions","Low Fashion Transparency Index,Few Eco-Friendly Materials",$$,,"Men,Women,Kids","Denim,Casual Wear,Accessories,Swimwear,Fragrance,Shoes"
Acne Studios,https://www.acnestudios.com/," Fair Wear Foundation Member,Sweden Textile Initiative for Climate Action Member,Responsible Down Standard Accredited,American with Disabilities Act (ADA) Certified","Designed for longevity,Eco-friendly practices,Environmental Sustainability Plan,Recycle Remnants,Recycles,Living wages,Does Not Use Fur/Exotic Animal Skins",,$$,,"Women,Men","Outerwear,Business Wear,Casual Wear,Bags,Shoes,Jewelry,Denim,Swimwear"
ADAY,https://www.thisisaday.com/,"Bluesign Certified,Oeko Tex Certification","renewable energy,Recycle Remnants,Water Reduction Initiatives,Eco-friendly practices",,$$,,Women,"Casual Wear,Loungewear,Bras,Swimwear,Accessories,Business Wear"
Adidas,https://www.adidas.com/,"FLA Workplace Code of Conduct,Better Cotton Initiative,Above 70% in Fashion Transparency Index","Recycled Materials,Environmental Sustainability Plan,Eco-friendly practices,Supports BLM,Community Outreach,Anti-Slavery and Human Trafficking Policy",,$$,,"Men,Women,Kids","Shoes,Activewear,Socks"
Aerosoles,https://www.aerosoles.com/,American with Disabilities Act (ADA) Certified,,Lack of Info,$$,,Women,Shoes
aldo,,,"Plan to Reduce Greenhouse Gas Emissions,Working to Eliminate Hazardous Chemicals","Low Fashion Transparency Index,Few Eco-Friendly Materials",,aldo,Women,"Shoes,Accessories,Bags,Jewelry"
Alex Evenings,https://alexevenings.com/,,Inclusive sizes,Lack of Info,$$,,Women,Evening Wear
Alexander McQueen,https://www.alexandermcqueen.com/,"American with Disabilities Act (ADA) Certified,Medium Fashion Transparency Index Score","Plan to Reduce Greenhouse Gas Emissions,Traces Most of Supply Chain,Anti-Slavery and Human Trafficking Policy,Policy to Prevent Deforestation of Ancient and Endangered Forests in its Supply Chain,Does Not Use Fur/Exotic Animal Skins",,$$$,Kering,"Women,Men","Casual Wear,Business Wear,Bags,Shoes,Accessories,Jewelry,Outerwear,Denim"
Allsaints,https://www.us.allsaints.com/,"Better Cotton Initiative,RWS Certified Wool","Environmental Sustainability Plan,Organic Cotton,Recycles,Recycled Materials,Support and promotes gender equality,Does Not Use Fur/Exotic Animal Skins,Anti-Slavery and Human Trafficking Policy",,$$,,"Women,Men","Outerwear,Bags,Casual Wear,Loungewear,Denim,Shoes,Accessories"
